relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
background325	0.00471912	0.1021285	0.0681326	0.106037	0.097364	0.09900785
background326	0.111135	0.0893518	0.0621029	0.162065	0.1126325	0.103475
background327	0.0542296	0.09034335	0.0669197	0.09329	0.117081	0.09268825
background328	0.168517	0.08045985	0.0604674	0.166835	0.129533	0.1024105
background329	0.0103556	0.0852038	0.065297	0.150793	0.126647	0.102656
background330	0.0595326	0.0690299	0.0663909	0.162646	0.107766	0.1028205
background331	0.0349391	0.0506733	0.0694454	0.14571	0.123364	0.1005955
background332	0.12809	0.0800179	0.0641297	0.122588	0.1014875	0.0977099
background333	0.000736425	0.0795275	0.0574322	0.104212	0.0986783	0.09460825
background334	0.0357208	0.0616066	0.0655538	0.165488	0.130336	0.1041835
background335	0.0201894	0.101957	0.0649835	0.184634	0.1114805	0.102493
background336	0.0332456	0.08361845	0.0636915	0.12413	0.1002843	0.0966287
background337	0.145154	0.06716035	0.0627621	0.175127	0.120254	0.0982209
background338	0.0394606	0.0869683	0.0718548	0.181116	0.10216	0.09976965
background339	0.118104	0.0915651	0.057117	0.230152	0.130956	0.1044225
background340	0.145012	0.0712929	0.0636957	0.141409	0.1180175	0.099259
background341	-0.0101318	0.0716097	0.0631855	0.141525	0.1068325	0.09456895
background342	0.103053	0.0857749	0.0625061	0.176637	0.1209755	0.09787725
background343	0.020608	0.0849599	0.0693089	0.0146777	0.10047	0.1062755
background344	0.0106174	0.08691395	0.0681829	0.185115	0.139737	0.09495405
background345	0.0823336	0.09022335	0.0736476	0.119997	0.110696	0.1045935
background346	0.0632956	0.0670642	0.0670358	0.139582	0.1221275	0.099259
background347	0.0664217	0.07386415	0.0737199	0.192144	0.1147515	0.09805255
background348	0.0127966	0.08098745	0.0694527	0.178621	0.1231575	0.10047
background349	0.0981038	0.0825331	0.065263	0.057519	0.1327185	0.1034985
background350	0.045723	0.06880195	0.069498	0.0387071	0.1097935	0.0977239
background351	0.0265196	0.0889383	0.0664532	0.112833	0.1142515	0.1010645
background352	0.160836	0.08622745	0.0667006	0.0902836	0.117726	0.1022395
background353	0.110532	0.099218	0.0669029	0.140005	0.1213875	0.0984937
background354	0.091948	0.0692491	0.0544505	0.113348	0.107923	0.1040615
